This file was created using the 202606 CRSP database.
It contains value- and equally-weighted returns for  10 prior return portfolios.

The portfolios are constructed daily.  PRIOR_RET is from - 250 to - 21.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Daily
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19261103,  -0.12,   0.61,  -0.07,   0.14,  -0.49,  -0.13,  -0.14,   0.46,   0.19,   1.26
19261104,   0.55,   1.47,   1.60,   0.61,   1.02,   0.59,   0.82,   0.45,   0.46,   0.40
19261105,  -0.92,  -0.72,  -0.27,  -0.36,   0.08,   0.20,  -0.15,   0.37,   0.25,   0.06
19261106,   1.00,   0.15,   0.43,   0.27,   0.55,   0.47,   0.12,   0.10,   0.36,  -0.62
19261108,  -0.14,   0.25,   1.82,  -0.07,   0.25,   0.42,   0.30,   1.15,   0.54,  -0.10
19261109,   1.09,   1.04,   0.32,   0.47,   0.29,  -0.17,   0.00,  -0.16,   0.08,   0.53
19261110,   2.08,  -1.09,  -0.32,  -0.59,  -1.08,  -1.29,  -0.36,  -0.62,  -0.47,  -0.66
19261111,   0.67,   1.27,   2.31,   0.29,   0.57,   0.91,   0.50,   0.58,   0.50,   0.56
19261112,  -0.58,  -0.57,   1.62,   0.56,   0.42,   0.50,   0.19,   0.36,   0.19,  -0.24
19261113,   0.28,   0.03,  -0.69,  -0.48,  -0.06,  -0.43,  -0.11,  -0.23,  -0.12,  -0.36
19261115,   2.48,   0.06,   0.08,   0.21,   0.52,   0.76,  -0.01,   0.57,   0.33,   0.31
19261116,  -0.18,   0.67,   0.06,   0.89,   0.09,  -0.31,   0.70,  -0.14,   0.00,   0.43
19261117,  -2.73,   0.16,  -0.55,   0.04,  -0.21,  -0.32,  -0.52,  -0.51,  -0.14,  -0.34
19261118,  -2.14,  -0.84,  -0.56,  -0.77,  -0.30,  -1.01,  -0.21,  -0.41,  -0.33,  -0.37
19261119,  -0.25,  -0.95,  -0.57,  -0.50,  -0.10,  -1.16,  -0.81,  -0.61,  -0.36,  -0.86
19261120,   1.69,   1.01,   0.88,   0.47,   0.03,   0.79,   0.47,   0.32,   0.52,  -0.05
19261122,   0.35,   1.63,   0.56,   0.59,   0.42,   0.75,   0.45,   0.46,   0.63,   0.81
19261123,   0.04,  -0.01,   0.52,   0.10,   0.68,   0.40,   0.37,   0.22,   0.62,   0.75
19261124,   1.53,   0.62,   0.06,  -0.07,   0.44,   0.02,   0.12,   0.12,   0.29,  -0.72
19261126,   0.00,   0.95,   0.11,   0.24,  -0.04,  -0.23,   0.32,   0.24,   0.51,   0.10
19261127,   0.18,  -0.39,  -0.64,  -0.87,   0.15,   0.08,  -0.26,  -0.10,  -0.14,   0.00
19261129,  -1.87,  -0.44,  -0.47,  -0.55,  -0.10,  -0.06,  -0.21,  -0.10,  -0.56,  -0.71
19261130,   1.12,   0.19,  -0.19,   1.54,   0.35,   0.38,   0.50,  -0.03,   0.36,   0.29
19261201,   0.91,   0.05,   0.55,   0.76,   0.65,   0.62,   0.28,   0.10,   0.30,   0.63
19261202,   0.64,   0.54,   1.39,   0.46,   0.97,   0.37,   0.25,   0.61,   0.46,   0.52
19261203,   1.36,   0.85,   1.66,   0.31,   0.30,  -0.46,   0.18,   0.07,   0.17,   1.31
19261204,   0.09,  -0.10,  -0.41,  -0.45,  -0.42,  -0.16,   0.15,  -0.09,  -0.30,  -0.19
19261206,  -0.88,  -0.06,   0.06,  -0.33,   0.14,   0.22,   0.07,   0.10,   0.08,   0.02
19261207,   2.45,  -0.56,  -0.77,   0.01,  -0.08,  -0.44,  -0.38,   0.07,  -0.06,   0.42
19261208,   0.46,   0.36,   0.07,   0.20,  -0.39,  -0.56,   0.32,   0.02,  -0.02,  -0.03
19261209,   1.18,   0.51,   0.51,   0.60,   0.63,   0.53,   0.30,   0.44,   0.47,   0.32
19261210,  -0.04,   0.17,   0.63,   0.54,   0.72,   0.41,   0.27,   0.23,   0.43,   0.37
19261211,  -0.09,   0.29,   0.62,   0.07,   0.56,   0.27,   0.13,   0.07,  -0.11,  -0.21
19261213,   1.45,   0.43,   2.14,   0.52,   0.11,   0.21,   0.01,   0.33,   0.09,   1.43
19261214,  -0.31,   0.60,  -0.58,  -0.23,  -0.05,   0.09,  -0.12,   0.21,   0.28,   0.40
19261215,  -0.67,   0.09,   0.02,   0.40,   0.03,   0.55,   0.26,   0.05,   0.21,  -0.09
19261216,  -1.93,  -1.02,  -0.49,  -1.09,  -0.33,  -0.84,  -0.25,  -0.42,  -0.46,  -1.10
19261217,   0.60,   0.21,   0.92,   1.03,   0.61,   0.47,   1.04,   1.45,   1.21,   0.46
19261218,   0.76,   0.80,   0.47,   0.05,   0.31,   0.32,   0.31,   0.44,   0.45,   0.84
19261220,  -1.03,  -0.73,  -0.75,  -0.25,  -0.11,  -0.39,  -0.04,  -0.32,  -0.41,  -0.41
19261221,   0.53,  -0.15,  -0.69,  -0.48,  -0.08,   0.17,   0.10,  -0.11,  -0.20,   0.54
19261222,   2.70,  -0.40,   0.15,  -0.70,   0.25,  -0.08,  -0.33,  -0.08,  -0.16,   0.28
19261223,   1.16,  -0.13,  -0.09,   0.40,   0.00,   0.37,   0.25,   0.00,   0.78,   0.54
19261224,  -0.54,  -0.05,   0.56,   0.39,   0.54,   0.00,   0.14,  -0.16,   0.23,   1.48
19261227,   0.41,  -0.63,  -0.49,   0.03,  -0.44,  -0.27,  -0.17,  -0.19,  -0.33,   0.00
19261228,  -2.10,  -1.91,  -1.48,  -1.31,  -1.23,  -1.16,  -0.56,  -1.21,  -0.89,  -1.51
19261229,   3.04,   0.25,   0.60,   0.66,   0.14,   0.41,   0.26,   0.60,   0.47,   0.82
19261230,   0.19,   0.28,  -0.95,   0.38,  -0.64,  -0.69,  -0.25,  -0.07,  -0.13,  -0.81
19261231,   1.34,   0.52,   0.97,   0.23,   0.52,   0.34,   0.54,   0.55,   0.30,  -0.55
19270103,  -0.05,  -2.09,  -0.97,  -0.40,  -0.32,  -0.91,  -0.50,  -0.86,  -1.01,  -1.55
19270104,   1.48,   0.46,   0.59,  -0.02,  -0.03,   0.36,   0.32,   0.46,  -0.04,   1.05
19270105,   1.34,   1.12,   0.05,   0.30,   0.27,   0.23,   0.06,  -0.01,  -0.04,   0.13
19270106,  -1.04,   0.86,  -0.21,  -0.65,  -0.90,  -0.27,  -0.06,   0.00,  -0.08,  -0.12
19270107,  -0.69,   0.01,   0.07,   0.06,   0.11,   0.30,   0.35,   0.52,   0.45,   0.46
19270108,   1.16,   0.71,   0.67,  -0.12,   0.18,   1.15,   0.20,   0.13,   0.35,   0.56
19270110,   0.26,   0.00,   0.63,   0.36,  -0.05,  -0.21,   0.22,   0.53,   0.31,   0.23
19270111,  -1.15,  -0.20,  -0.22,  -0.34,  -0.38,  -0.28,  -0.21,  -0.06,  -0.18,  -0.74
19270112,  -2.22,  -0.35,  -0.15,   0.33,  -0.10,   0.45,   0.01,  -0.03,   0.17,   0.09
19270113,  -0.01,  -0.35,  -0.22,   1.02,   0.01,  -0.25,  -0.11,  -0.13,  -0.05,  -0.47
19270114,  -0.71,  -0.81,  -0.45,   0.20,  -0.05,   0.19,  -0.03,   0.23,   0.37,  -0.38
19270115,   0.19,  -0.16,  -0.96,   0.01,   0.21,   0.17,   0.23,   0.24,   0.31,  -0.05
19270117,  -1.77,  -0.48,   0.82,   0.03,  -0.24,   0.16,   0.09,   0.14,  -0.18,  -0.74
19270118,   0.37,   0.73,  -0.52,   0.25,  -0.25,  -0.02,  -0.06,  -0.10,  -0.05,  -0.12
19270119,   1.68,   0.55,   1.54,   0.37,   0.60,   0.49,   0.27,   0.71,   0.59,   1.20
19270120,  -0.48,  -0.43,  -0.09,  -0.26,  -0.74,  -0.24,  -0.15,   0.07,  -0.15,   0.11
19270121,   0.20,   0.37,  -0.52,  -0.20,  -0.20,   0.20,   0.14,  -0.08,  -0.16,   0.22
19270122,   0.11,  -0.57,  -0.65,  -0.58,  -0.38,  -0.15,  -0.09,  -0.23,  -0.24,  -0.83
19270124,   0.24,  -1.06,  -0.66,  -0.75,  -0.32,  -0.47,  -0.35,  -0.21,  -0.71,  -0.57
19270125,  -2.46,  -0.98,  -1.02,  -1.23,  -0.75,  -0.61,  -1.22,  -1.93,  -1.21,  -0.56
19270126,  -0.66,   0.17,   0.40,  -0.26,   0.29,   0.06,   0.11,   0.39,   0.34,   0.63
19270127,  -0.47,   1.15,  -0.92,  -0.20,  -0.66,  -0.20,  -0.40,  -0.56,  -0.40,  -0.03
19270128,   0.62,   0.09,  -0.16,  -0.05,   0.01,   0.17,   0.29,   0.24,   0.15,   0.35
19270129,  -0.57,   0.62,   0.96,   0.31,   0.14,   0.58,   0.73,   1.28,   0.87,   1.48
19270131,  -0.79,   0.39,   0.47,   0.61,   0.52,   0.67,   0.31,   0.53,   0.66,   1.15
19270201,   1.31,   0.08,  -0.05,  -0.06,   0.26,   0.15,  -0.24,  -0.09,  -0.12,  -0.07
19270202,   0.10,   0.33,   1.42,   0.59,   0.50,   0.64,   0.68,   0.59,   0.76,   1.27
19270203,  -0.21,   0.25,  -0.49,   0.42,   0.09,   0.25,   0.44,   0.10,   0.16,   0.55
19270204,   0.47,  -0.46,   2.94,   0.01,   0.52,   0.04,   0.21,   0.16,   0.19,  -0.13
19270205,   0.63,  -0.14,  -0.18,  -0.26,   0.03,  -0.27,  -0.24,  -0.01,  -0.07,  -0.36
19270207,  -0.04,   1.63,  -0.60,  -0.62,   0.18,  -0.07,  -0.31,   0.03,   0.09,  -0.08
19270208,   0.87,   0.97,  -0.25,  -0.15,   0.13,  -0.04,   0.43,   0.11,   0.15,  -0.08
19270209,   0.91,   0.13,  -0.05,   0.07,  -0.08,   0.07,  -0.18,   0.06,   0.41,  -0.03
19270210,   0.08,   0.20,   0.53,  -0.35,   0.06,   0.14,   0.26,   0.52,  -0.52,   0.11
19270211,  -0.34,   0.64,   0.55,   0.31,  -0.07,   0.07,   0.60,   0.93,   0.27,   0.38
19270214,   0.02,   0.68,   0.52,   0.44,   0.70,   0.44,   0.22,   0.25,   0.51,   1.35
19270215,  -0.78,   0.29,  -0.27,   0.41,   0.40,   0.58,  -0.37,   0.10,   0.10,  -0.23
19270216,   0.78,  -0.11,  -0.63,  -0.10,  -0.08,   0.21,   0.11,   0.40,  -0.07,  -0.54
19270217,   0.77,   0.09,  -0.75,   0.09,   0.05,   0.42,   0.66,   0.52,   0.15,   0.55
19270218,  -1.06,  -0.40,  -0.04,   0.18,   0.22,   0.71,   0.58,   0.06,   0.25,   0.15
19270219,   2.83,   0.12,  -0.41,   0.20,  -0.22,  -0.02,   0.14,   0.34,  -0.16,  -0.01
19270221,  -0.10,  -0.19,   0.18,   0.01,   0.23,  -0.31,  -0.55,   0.06,  -0.52,   0.10
19270223,   0.97,   1.26,   0.59,   1.00,   0.54,   0.30,   0.59,   1.25,   0.85,   1.68
19270224,  -0.62,   0.98,   0.14,   0.16,   0.05,   0.15,   0.08,   0.30,  -0.06,   0.29
19270225,   0.91,   0.82,   0.37,   0.35,  -0.01,   0.58,  -0.07,   0.09,  -0.15,   0.74
19270226,  -0.44,   0.39,   0.07,   0.03,   0.04,   0.01,   0.01,  -0.09,   0.04,   0.59
19270228,   0.07,   1.08,   0.06,   0.44,  -0.07,   0.48,   0.20,   0.39,   0.81,   2.45
19270301,  -0.98,  -0.73,  -0.74,  -0.65,  -0.21,  -0.20,  -0.19,  -0.27,  -0.61,  -0.41
19270302,  -0.94,  -1.02,  -1.10,  -1.03,  -1.14,  -0.67,  -1.05,  -1.16,  -1.31,  -2.29
19270303,   0.41,   0.53,   0.44,   0.63,   0.69,   1.47,   0.76,   0.75,   1.30,   2.37
19270304,   0.48,  -0.13,  -0.45,  -0.35,  -0.31,  -0.92,  -0.35,  -0.58,  -0.19,  -0.49
19270305,   0.61,  -0.42,  -0.44,  -0.05,  -0.08,  -0.30,  -0.34,  -0.08,  -0.63,  -0.54
19270307,  -0.58,  -0.69,  -0.68,  -0.55,  -0.64,  -0.34,  -0.11,  -0.24,  -0.33,  -0.13
19270308,  -0.80,   0.12,   0.08,  -0.03,   0.12,  -0.09,   0.16,   0.22,   0.07,   0.89
19270309,   0.30,  -0.23,   0.81,   0.41,   0.50,   0.09,   0.41,   0.62,   0.85,   1.02
19270310,   0.01,   0.57,   0.96,   0.05,   0.23,   0.19,   0.80,   0.46,   1.36,   0.33
19270311,   0.17,  -0.86,  -0.30,   0.55,   0.14,   0.25,   0.45,   0.93,  -0.33,   0.04
19270312,   0.74,  -0.18,   0.41,  -0.01,   0.04,   0.02,  -0.27,  -0.21,  -0.02,   0.09
19270314,  -0.29,  -0.44,  -0.58,   0.50,   0.09,  -0.10,   0.22,   0.05,  -0.06,   1.87
19270315,  -1.01,  -0.70,  -1.02,  -0.86,  -0.80,  -0.53,  -1.05,  -0.93,  -0.82,  -0.90
19270316,  -1.00,   0.34,   0.46,   0.46,   0.55,   2.07,   0.53,   0.96,   0.78,   2.35
19270317,   0.13,  -0.23,  -0.02,   0.74,   0.34,   1.06,   0.51,   0.13,   0.41,   0.06
19270318,  -0.59,  -0.43,  -0.58,  -0.41,  -0.79,  -1.22,  -0.97,  -0.95,  -0.54,  -0.33
19270319,   0.31,  -0.13,   0.13,  -0.22,  -0.15,   0.41,   0.06,  -0.08,  -0.05,   0.18
19270321,  -1.62,  -0.24,   0.05,  -0.21,   0.29,   0.33,   0.20,   0.34,   0.66,  -0.09
19270322,  -0.96,  -0.24,  -1.12,  -0.64,  -0.99,  -0.58,  -1.17,  -0.91,  -1.53,  -2.44
19270323,   0.09,   0.01,   0.33,   0.09,   0.45,   0.20,   0.14,   0.06,   0.79,  -0.04
19270324,  -0.83,   0.16,   0.66,   0.79,   0.60,   0.50,   0.69,   0.87,   0.82,   1.26
19270325,  -0.91,   0.23,   0.01,   0.28,   0.06,   0.19,   0.22,  -0.07,   0.20,   0.54
19270326,   0.45,   1.03,   0.23,  -0.02,   0.01,   0.87,   0.10,   0.11,   0.29,   0.79
19270328,  -0.37,   0.28,   0.02,  -0.02,   0.55,   0.51,   0.15,   0.59,   0.64,   1.65
19270329,  -0.54,  -0.53,  -0.55,  -0.56,  -0.49,  -0.25,  -0.29,  -0.16,   0.27,   0.33
19270330,   0.22,  -0.97,  -1.32,  -0.56,  -0.38,  -0.37,  -0.51,  -0.67,  -0.46,  -0.85
19270331,  -1.25,   0.67,   0.14,   0.22,   0.36,   0.33,   0.24,   0.41,   0.64,   0.16
19270401,  -0.20,  -0.51,  -0.84,   0.18,   0.27,  -0.04,  -0.24,   0.41,  -0.11,   0.04
19270402,   0.64,  -0.65,  -0.25,  -0.06,   0.17,   0.13,   0.01,  -0.21,  -0.04,  -0.50
19270404,   0.81,  -0.35,   0.18,   0.45,   0.23,   1.03,   0.42,   0.68,   0.62,   0.86
19270405,  -0.64,   1.02,   1.02,   0.25,   0.17,   0.25,   0.68,   0.43,   0.53,   2.17
19270406,   0.40,   0.45,   0.17,  -0.10,   0.08,   0.13,  -0.17,   0.62,   0.24,  -0.19
19270407,  -0.70,   0.32,   0.39,  -0.10,   0.35,   0.68,  -0.01,   0.07,   0.15,  -0.07
19270408,   0.58,   0.12,   0.12,   0.13,   0.03,  -0.25,   0.43,   0.07,   0.67,   1.84
19270409,  -0.60,   0.03,  -0.54,  -0.11,   0.00,  -0.06,  -0.17,   0.09,   0.34,   0.63
19270411,   1.31,   0.62,  -0.03,   0.04,   0.86,   0.06,   0.05,   0.19,   0.81,  -0.42
19270412,   0.90,   0.17,   0.13,  -0.35,  -0.26,  -0.73,  -0.42,  -0.13,   0.19,  -0.64
19270413,   0.02,   0.87,  -0.17,  -0.30,   0.52,   0.27,   0.25,   0.35,   0.06,   0.66
19270414,   0.70,   0.18,   0.50,  -0.19,  -0.15,   0.28,   0.07,   0.14,   0.31,  -0.03
19270416,   1.05,   0.53,  -0.34,  -0.15,   0.11,   0.02,   0.16,   0.25,   0.18,   0.80
19270418,  -0.71,   0.13,  -0.37,  -0.76,   0.00,  -0.03,   0.10,   0.15,   0.15,   0.20
19270419,   0.42,   0.56,   0.45,   0.79,   0.30,  -0.04,   0.06,  -0.14,   0.04,   0.48
19270420,  -1.09,  -0.08,   0.56,   0.68,   0.48,   0.23,   0.52,  -0.16,   0.40,  -0.06
19270421,  -0.81,   0.13,   0.07,   0.31,   0.49,   0.18,   0.49,   0.00,   0.02,   1.64
19270422,  -1.09,  -0.90,  -0.24,   0.38,  -0.29,   0.03,   0.31,   0.06,   0.37,   0.26
19270423,  -0.32,  -1.04,  -0.51,  -0.35,  -0.13,  -0.32,  -0.23,  -0.23,  -0.06,  -0.96
19270425,  -0.99,  -1.31,  -1.24,  -1.57,  -1.58,  -0.96,  -1.87,  -1.23,  -1.47,  -2.76
19270426,   0.08,   0.67,   0.42,   0.44,   0.82,   0.37,   0.57,   0.31,   0.52,   1.49
19270427,  -1.28,  -2.31,  -0.90,  -0.42,  -0.05,  -0.35,  -0.13,  -0.40,  -0.17,   0.08
19270428,   0.00,  -1.12,  -0.94,  -1.28,  -1.18,  -1.09,  -0.72,  -0.94,  -1.49,  -1.77
19270429,   0.71,   0.59,   0.35,   0.28,   0.42,   0.13,   0.47,   0.13,   0.92,   1.49
19270430,   0.44,   0.76,  -0.24,   0.47,  -0.27,   0.20,   0.04,  -0.16,  -0.12,   0.00
19270502,   0.52,   0.19,   0.14,   0.53,  -0.07,   0.11,   0.16,   0.49,   0.16,   0.85
19270503,   1.62,   0.42,  -0.01,   0.53,   0.90,   0.81,   0.69,   0.85,   0.78,   1.54
19270504,   0.73,   2.08,   1.46,   0.69,   0.75,   0.81,   0.73,   0.81,   0.58,   0.42
19270505,   0.38,  -0.06,   1.07,   0.65,   0.45,   0.13,   0.32,  -0.29,   0.75,  -0.06
19270506,   0.08,   0.41,   0.68,   0.50,   0.04,   0.02,   0.40,   0.36,   0.24,   0.07
19270507,   2.17,   0.17,   0.50,   0.15,   0.02,   0.23,   0.37,   0.40,   0.33,   0.37
19270509,  -0.15,   0.33,  -0.32,   0.06,   0.16,   0.41,   0.36,   0.46,   0.56,  -0.08
19270510,  -0.34,  -0.73,  -0.02,  -0.31,   0.00,  -0.20,  -0.24,   0.03,   0.49,  -0.04
19270511,   0.94,   0.03,  -0.19,   0.69,  -0.12,   0.03,  -0.32,  -0.05,  -0.41,  -0.73
19270512,  -0.52,  -0.11,   0.31,  -0.05,  -0.18,  -0.18,  -0.29,  -0.23,  -0.01,   0.11
19270513,   0.81,  -0.44,  -0.17,   0.82,   0.59,   0.82,   0.34,   0.55,   0.78,   0.76
19270514,  -0.53,   0.24,   0.23,   0.37,  -0.11,   0.30,  -0.01,   0.11,  -0.09,  -0.31
19270516,  -1.47,  -0.69,  -0.74,  -0.50,  -0.23,  -0.85,  -0.43,  -1.07,  -0.93,  -1.06
19270517,   0.42,   0.25,  -0.30,   0.23,   0.29,   0.72,   0.41,   0.56,   0.81,   1.14
19270518,   0.56,   0.16,   0.08,  -0.16,  -0.02,   0.45,   0.20,   0.66,   0.90,   2.03
19270519,   0.03,   0.06,  -0.36,   0.54,  -0.02,   0.65,   0.25,   0.26,   0.51,   0.02
19270520,   1.67,   1.11,   0.24,   0.84,   0.20,   0.29,   0.54,   0.67,   0.66,   0.14
19270521,  -0.10,   0.92,   0.26,   0.46,   0.39,   0.20,   0.01,   0.45,   0.30,   0.24
19270523,  -0.57,  -0.57,   0.03,  -0.32,   0.08,  -0.02,   0.25,   0.16,   0.11,   0.76
19270524,  -0.66,  -0.08,  -0.25,  -0.09,  -0.01,  -0.15,   0.11,   0.06,  -0.39,  -0.34
19270525,   0.25,  -0.15,  -0.03,  -0.20,   0.04,   0.56,  -0.12,   0.38,   0.08,   0.79
19270526,  -0.91,   0.68,   0.58,   0.46,   0.05,   0.39,   0.14,   0.15,  -0.08,  -0.63
19270527,   0.39,   0.42,  -0.06,   0.52,   0.33,   0.54,   0.71,   0.29,   0.49,   0.57
19270528,   1.18,   0.01,   0.05,   0.16,   0.00,   0.26,   0.05,   0.47,  -0.07,   0.36
19270531,  -0.78,  -0.32,   0.13,   0.30,   0.27,   0.80,   0.05,   0.35,   0.19,   0.63
19270601,  -0.57,  -0.39,   0.11,   0.08,   0.26,   0.38,   0.19,   0.62,   0.80,   0.55
19270602,   0.13,  -0.53,   0.17,   0.08,  -0.04,   0.04,   0.15,  -0.12,   0.11,   0.51
19270603,  -1.49,  -0.76,  -0.27,  -0.99,  -0.65,  -0.98,  -0.90,  -0.97,  -1.02,  -1.24
19270604,  -0.06,   0.40,   0.03,   0.21,   0.34,   0.49,   0.35,   0.73,   0.58,   0.40
19270606,  -1.06,   0.74,   0.09,   0.27,   0.77,   0.52,   0.51,   0.53,   0.62,   1.30
19270607,   0.00,  -0.01,  -0.23,  -0.03,  -0.35,  -0.61,  -0.35,  -0.74,  -0.10,  -0.26
19270608,  -0.94,   1.38,   0.54,   0.63,   0.11,   0.07,   0.14,   0.28,   0.29,   0.25
19270609,  -0.81,   1.16,  -0.08,   0.45,  -0.03,  -0.22,  -0.22,   0.00,   0.03,   0.06
19270610,  -0.59,  -0.72,  -0.08,  -0.40,  -0.16,  -0.45,  -0.48,  -0.42,  -0.15,  -0.54
19270611,  -0.66,   0.56,  -0.20,  -0.12,  -0.18,  -0.08,  -0.04,   0.00,  -0.10,  -0.13
19270614,  -0.94,  -0.72,  -1.93,  -1.29,  -1.24,  -1.22,  -1.06,  -1.78,  -1.87,  -2.71
19270615,   1.06,   1.12,   0.29,   0.78,   1.00,   1.43,   0.35,   1.15,   1.26,   1.50
19270616,   1.04,   0.26,  -0.01,   0.25,   0.74,   0.34,   0.51,   0.51,   1.51,   0.92
19270617,  -0.39,   0.26,   0.30,   0.65,  -0.02,  -0.13,   0.31,   0.33,   0.04,  -0.09
19270618,   0.22,   0.03,  -0.02,  -0.38,  -0.13,  -0.01,  -0.12,  -0.21,  -0.14,   0.32
19270620,  -0.31,  -0.04,  -0.16,  -0.30,  -0.13,  -0.14,  -0.15,  -0.08,  -0.28,  -0.28
19270621,  -1.47,  -0.10,  -0.47,  -0.38,  -0.08,  -0.37,  -0.27,  -0.51,  -0.16,  -0.44
19270622,   1.39,  -0.73,  -0.13,  -0.57,   0.41,   0.07,  -0.08,   0.24,   0.15,   0.19
19270623,  -1.91,  -1.18,  -0.86,  -1.04,  -0.82,  -0.57,  -0.58,  -0.76,  -1.06,  -1.71
19270624,  -0.25,  -0.08,   0.00,   0.15,   0.08,   0.32,   0.17,   0.18,  -0.02,   0.48
19270625,   0.63,  -0.38,  -0.69,  -0.32,  -0.09,   0.01,   0.00,   0.13,   0.05,   0.08
19270627,  -2.41,  -1.43,  -0.83,  -1.25,  -1.21,  -0.96,  -0.97,  -1.28,  -1.76,  -1.92
19270628,   0.33,   0.53,   0.67,   0.45,   0.19,   0.15,   0.03,   0.26,   0.88,  -0.33
19270629,  -0.02,  -0.20,  -0.06,  -0.09,   0.03,  -0.07,   0.22,  -0.24,  -0.21,   0.68
19270630,  -0.97,  -0.52,  -0.39,   0.07,   0.28,   0.02,   0.00,   0.08,  -0.05,  -0.75
19270701,   1.35,   0.42,   0.47,   0.43,   0.49,   0.55,   0.91,   0.54,   0.92,   0.81
19270702,   0.78,   0.74,   0.64,   0.18,   0.31,   0.55,   0.54,   0.52,   1.05,   0.73
19270705,   0.71,   0.70,   0.35,   0.63,   0.88,   1.13,   0.41,   1.28,   1.18,   1.22
19270706,   0.90,   0.78,   0.86,   0.99,   0.46,   0.59,   0.26,   0.56,   0.36,   1.21
19270707,  -2.19,  -0.51,  -0.28,  -0.43,  -0.11,   0.01,  -0.29,  -0.24,  -0.46,  -0.11
19270708,  -1.47,  -0.73,  -0.63,  -0.04,  -0.01,   0.22,  -0.17,   0.06,   0.28,  -0.70
19270709,   0.54,   0.48,   0.47,   0.21,   0.06,   0.11,  -0.04,   0.45,   0.27,   0.09
19270711,   0.09,  -0.37,   0.32,   0.03,   0.73,   0.63,   0.52,   0.67,   0.42,   0.12
19270712,   0.16,   0.50,  -0.03,   0.32,   0.92,   0.54,   0.53,   0.48,  -0.32,   0.40
19270713,   0.61,  -0.28,  -0.03,   0.33,   0.22,   0.53,   0.77,  -0.12,   0.15,   0.13
19270714,   1.31,   0.06,   0.11,   0.19,   0.31,   0.50,   0.08,   1.32,   0.64,   0.66
19270715,   0.74,   0.24,   0.51,   0.19,   0.09,   0.31,   0.07,   0.05,   0.48,   0.36
19270716,   1.32,   1.27,   0.28,   0.28,   0.15,  -0.02,   0.14,   0.02,   0.08,   0.16
19270718,   0.04,   0.49,   0.25,   0.00,   0.50,   0.00,   0.10,   0.48,   0.25,  -0.03
19270719,   0.28,  -0.23,   0.50,   0.89,  -0.13,  -0.01,   0.42,   0.29,   0.11,   0.79
19270720,   0.50,  -0.57,  -0.21,   0.38,   0.60,   0.40,   0.06,   0.13,   1.20,   2.05
19270721,   0.28,  -0.62,  -0.30,   0.34,  -0.06,   0.04,  -0.19,   0.20,   0.11,  -0.08
19270722,  -0.23,   0.05,   0.24,  -0.05,   0.11,  -0.06,  -0.16,  -0.07,  -0.24,  -0.38
19270723,   0.84,   0.53,   0.00,  -0.11,   0.08,   0.10,   0.14,   0.35,   0.32,   0.76
19270725,   0.22,   0.01,  -0.08,   0.33,   0.60,   0.32,   0.43,   0.91,   0.01,   0.77
19270726,  -0.65,   0.54,   0.19,  -0.03,   0.56,   0.26,   0.04,   0.72,  -0.02,   0.37
19270727,  -1.39,   0.11,   0.18,  -0.09,  -0.18,   0.39,   0.00,   0.27,  -0.12,  -0.15
19270728,  -0.37,  -0.01,  -0.19,   0.54,  -0.15,   0.55,   0.31,   0.21,  -0.16,   0.21
19270729,  -0.32,   0.24,  -0.30,   1.68,   0.31,   0.46,   0.16,   0.27,   1.01,   0.34
19270730,   1.02,   0.49,   0.35,   0.34,   0.72,   0.35,   1.03,   0.35,   0.47,   0.98
19270801,  -1.23,   0.04,   0.07,   0.39,   0.88,   0.54,   0.27,   0.94,   0.81,   1.41
19270802,   1.47,   0.20,   0.80,   0.42,   0.76,   0.45,   0.98,   0.76,   0.57,   0.79
19270803,   1.07,   1.14,  -0.41,  -0.11,  -0.73,  -0.94,  -0.59,  -1.06,  -0.88,  -0.70
19270804,   1.03,   2.83,   1.83,   1.52,   0.88,   0.42,   0.58,   0.97,   0.63,   0.61
19270805,  -0.15,  -0.51,  -0.12,  -0.47,  -0.39,  -0.53,  -0.65,  -0.85,  -1.02,  -1.69
19270806,   0.72,   0.08,  -0.43,  -0.08,  -0.13,  -0.05,   0.04,  -0.34,   0.10,  -0.10
19270808,  -1.10,  -0.23,  -0.62,  -0.95,  -0.88,  -0.92,  -1.18,  -1.45,  -1.42,  -2.13
19270809,  -0.09,   0.74,   0.77,   0.74,   0.87,   0.85,   0.96,   1.13,   1.31,   1.53
19270810,  -0.23,  -1.06,  -0.08,   0.85,   0.20,   0.37,   0.03,   0.73,   0.00,   0.13
19270811,  -0.64,  -0.60,  -0.67,  -0.51,  -0.99,  -0.69,  -0.78,  -1.56,  -1.26,  -3.24
19270812,  -1.78,  -1.38,  -0.88,  -1.15,  -1.72,  -1.39,  -1.25,  -1.99,  -1.84,  -3.61
19270813,   0.41,   0.93,   0.38,   0.69,   0.91,   0.67,   0.95,   0.94,   1.30,   1.61
19270815,   1.94,   1.38,   0.95,   0.88,   1.10,   1.17,   1.46,   1.70,   1.49,   1.61
19270816,   0.43,   0.63,   0.12,   0.21,   0.64,   0.82,   0.62,   1.24,   0.55,   1.19
19270817,   0.95,   0.10,   0.44,   0.68,   0.28,   0.06,   0.79,   0.42,  -0.01,   1.20
